Volatility 3 Framework 2.7.0

Offset	Name	Size

0xe001c0e38d90	\Windows\System32\drivers\dxgmms1.sys	216
0xe001c0e679a0	\Windows\System32\drivers\monitor.sys	216
0xe001c0e684d0	\Windows\System32\drivers\dxgmms2.sys	216
0xe001c0e6e8e0	\$Directory	216
0xe001c0e70a10	\Windows\System32\wwapi.dll	216
0xe001c0e75cf0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Printing-Foundation-Package~31bf3856ad364e35~amd64~~10.0.10240.16384.cat	216
0xe001c0edd230	\CMApi	216
0xe001c0ee7d40	\$Directory	216
0xe001c0fa8e80	\Windows\System32\en-US\KernelBase.dll.mui	216
0xe001c1031ea0	\Windows\appcompat\Programs\Amcache.hve	216
0xe001c10323c0	\Windows\appcompat\Programs\Amcache.hve.LOG2	216
0xe001c10342b0	\Windows\appcompat\Programs\Amcache.hve.LOG1	216
0xe001c1034c00	\Windows\System32\webservices.dll	216
0xe001c1039db0	\Windows\System32\FlightSettings.dll	216
0xe001c103c090	\Windows\System32\audiodg.exe	216
0xe001c103d360	\Windows\System32\xolehlp.dll	216
0xe001c103ebb0	\Windows\System32\msdtclog.dll	216
0xe001c103f090	\Windows\System32\msdtc.exe	216
0xe001c1043f20	\Windows\System32\drivers\en-US\afd.sys.mui	216
0xe001c104fdb0	\Windows\Prefetch\WMIADAP.EXE-BB21CD77.pf	216
0xe001c104ff20	\ProgramData\Microsoft\Windows\Start Menu	216
0xe001c1054ae0	\Windows\System32\mtxoci.dll	216
0xe001c10578c0	\CMApi	216
0xe001c1058b20	\Windows\System32\en-US\msdtc.exe.mui	216
0xe001c105acf0	\Windows\System32\msdtcVSp1res.dll	216
0xe001c10626d0	\Windows\System32	216
0xe001c1067f20	\Windows\System32\MsDtc\Trace\dtctrace.log	216
0xe001c106dea0	\Windows\System32\en-US\msdtcVSp1res.dll.mui	216
0xe001c106e6d0	\Windows\Registration\R000000000006.clb	216
0xe001c106fc70	\Windows\System32\MsDtc\MSDTC.LOG	216
0xe001c10bcf20	\Windows\System32\iscsicpl.dll	216
0xe001c116d530	\Windows\System32\ploptin.dll	216
0xe001c117d350	\CMNotify	216
0xe001c1207f20	\Windows\System32\drivers\en-US\synth3dvsc.sys.mui	216
0xe001c120d610	\Windows\System32\en-US\sendmail.dll.mui	216
0xe001c1211090	\Windows\System32\en-US\twext.dll.mui	216
0xe001c1211320	\Windows\Globalization\Time Zone\timezoneMapping.xml	216
0xe001c1214b70	\Windows\System32\drivers\fvevol.sys	216
0xe001c1241090	\Windows\System32\WofUtil.dll	216
0xe001c12551d0	\Windows\SysWOW64\wbemcomn.dll	216
0xe001c1258490	\Windows\System32\tzres.dll	216
0xe001c1267090	\$Directory	216
0xe001c127df20	\Windows\System32\DriverStore\en-US\volume.inf_loc	216
0xe001c1294f20	\Windows\Prefetch\MICROSOFT.PHOTOS.EXE-597AAD1C.pf	216
0xe001c1297090	\Users\Simon Zitauer\AppData\Local\Microsoft\Windows\WebCache\V01.log	216
0xe001c1299640	\$Directory	216
0xe001c129bf20	\$Directory	216
0xe001c129e5a0	\Windows\System32\rasapi32.dll	216
0xe001c129e770	\CMNotify	216
0xe001c12cc780	\Windows\System32\drivers\intelide.sys	216
0xe001c12d5090	\$Directory	216
0xe001c12d9e50	麨섭￿麨섭￿	0
0xe001c12db090	\Windows\System32\drivers\ntfs.sys	216
0xe001c12e0f20	\Users\Simon Zitauer\AppData\Local\Microsoft\Windows\INetCache\counters.dat	216
0xe001c12e1590	\ProgramData\Microsoft\Windows Defender\Scans\mpcache-DE79A719CF48662054FE6F29585D06490E31B8B9.bin.E6	216
0xe001c12e4090	\Windows\System32\mapi32.dll	216
0xe001c12e4a00	\$Directory	216
0xe001c12eacd0	\Windows\Media\Windows Hardware Insert.wav	216
0xe001c12eff20	\System Volume Information\IndexerVolumeGuid	216
0xe001c12f0090	\Windows\SysWOW64\wbem\wbemsvc.dll	216
0xe001c12f1090	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\LocalState\AppIconCache\100\{9880AD8F-2C09-4889-A6D8-5303A28584B5}	216
0xe001c12f3140	\Windows\System32\FXSRESM.dll	216
0xe001c12f5f20	\Windows\System32\spp\store\2.0\data.dat.bak	216
0xe001c130ac20	\$Directory	216
0xe001c1311f20	\Windows\System32\WindowsPowerShell\v1.0\en-US\powershell.exe.mui	216
0xe001c13126e0	\$Directory	216
0xe001c1318710	\$Directory	216
0xe001c131bb90	\$Directory	216
0xe001c131bf20	\Windows\System32\drivers\WdfLdr.sys	216
0xe001c1325330	\ProgramData\Microsoft\Windows Defender\Scans\mpcache-DE79A719CF48662054FE6F29585D06490E31B8B9.bin.80	216
0xe001c133cf20	\Windows\System32\drivers\mountmgr.sys	216
0xe001c135c090	\$Directory	216
0xe001c13639a0	\$Directory	216
0xe001c1364090	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\LocalState\FrameNavigationServiceState.xml	216
0xe001c136a6a0	\Windows\assembly\NativeImages_v4.0.30319_64\System\5d38433b42c8020426ab2fef33289985\System.ni.dll	216
0xe001c1376290	\$Directory	216
0xe001c1385090	\Program Files\WindowsApps\Microsoft.ZuneVideo_3.6.10811.0_x64__8wekyb3d8bbwe\AppxManifest.xml	216
0xe001c13858d0	\Windows\System32\Tasks\Microsoft\Windows\UpdateOrchestrator\Schedule Scan	216
0xe001c13a3e60	\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\msvcp140_app.dll	216
0xe001c13c5250	\Users\Simon Zitauer\AppData\Local\Microsoft\Windows\Caches\{23201603-B905-4D30-88C9-B63C603DA134}.3.ver0x0000000000000001.db	216
0xe001c13d8d10	\Users\Simon Zitauer\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db	216
0xe001c13e8090	\Program Files\WindowsApps\Microsoft.Windows.Photos_15.618.18170.0_x64__8wekyb3d8bbwe\Assets\PhotosSplashWideTile.scale-100.png	216
0xe001c13ecf20	\Program Files\Common Files\microsoft shared\ink\InkObj.dll	216
0xe001c140d4b0	\Windows\System32\en-US\newdev.dll.mui	216
0xe001c1417520	\$Directory	216
0xe001c141a770	\$Directory	216
0xe001c141e840	\Windows\Prefetch\CMD.EXE-0BD30981.pf	216
0xe001c141ed90	\$Directory	216
0xe001c1423f20	\Windows\System32\wpdshext.dll	216
0xe001c1425f20	\$Directory	216
0xe001c14266d0	\Windows\System32\Dism\VhdProvider.dll	216
0xe001c142f650	\Users\Simon Zitauer\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Desktop.ini	216
0xe001c1436f20	\Windows\System32\bcrypt.dll	216
0xe001c143e090	\Endpoint	216
0xe001c1449300	\Windows\System32\en-US\shell32.dll.mui	216
0xe001c1449a10	\Windows\SoftwareDistribution\DataStore\Logs\edbtmp.log	216
0xe001c1457580	\Windows\System32\Dism\en-US\WimProvider.dll.mui	216
0xe001c1457bf0	\Windows\SysWOW64\dsound.dll	216
0xe001c1459090	\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\Views\SpeechTextInputControl.xbf	216
0xe001c1459ed0	
`	0
0xe001c145a3f0	\Windows\System32\wdmaud.drv	216
0xe001c145af20	\Windows\System32\NetSetupSvc.dll	216
0xe001c1466090	\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Security\v4.0_4.0.0.0__b03f5f7f11d50a3a\System.Security.dll	216
0xe001c1474f20	\$Directory	216
0xe001c147b090	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Features-WOW64-Package-AutoMerged-enduser~31bf3856ad364e35~amd64~en-US~10.0.10240.16384.cat	216
0xe001c147c620	\$Directory	216
0xe001c147c8b0	\$Directory	216
0xe001c1481560	\Windows\System32\en-US\audiodg.exe.mui	216
0xe001c1485090	\Users\Simon Zitauer\AppData\Roaming\Microsoft\Windows\Libraries\Music.library-ms	216
0xe001c1489ed0	
`	0
0xe001c148e090	\Windows\System32\virtdisk.dll	216
0xe001c148e3b0	\Windows\System32\en-US\windows.storage.dll.mui	216
0xe001c149f090	\Windows\System32\en-US\webservices.dll.mui	216
0xe001c14a14b0	\Windows\SystemApps\WindowsFeedback_cw5n1h2txyewy\AppxManifest.xml	216
0xe001c14ad090	\$Directory	216
0xe001c14bc090	\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.10240.17020_none_1152834562020692\CbsCore.dll	216
0xe001c14d23b0	\Windows\System32\vmhgfs.dll	216
0xe001c14e4b20	\$Directory	216
0xe001c14f2e60	\Windows\System32\FXSRESM.dll	216
0xe001c14f5520	\Windows\System32\en-US\netmsg.dll.mui	216
0xe001c14f8440	\$Directory	216
0xe001c1508d60	\Windows\System32\DeviceSetupManager.dll	216
0xe001c1511300	\Windows\System32\en-US\imageres.dll.mui	216
0xe001c1514090	\Program Files\Windows Defender\MSASCui.exe	216
0xe001c152a090	\Windows\System32\MdSched.exe	216
0xe001c1532f20	\Windows\SystemApps\ParentalControls_cw5n1h2txyewy\resources.pri	216
0xe001c15345e0	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Microsoft.Windows.Photos_15.618.18170.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat	216
0xe001c15365e0	\Windows\System32\en-US\svchost.exe.mui	216
0xe001c1541090	\$Directory	216
0xe001c1544740	\$Directory	216
0xe001c155f090	\Users\Simon Zitauer\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db	216
0xe001c156dad0	\Windows\System32\en-US\mpr.dll.mui	216
0xe001c156f6b0	\Windows\System32\notepad.exe	216
0xe001c156f820	\Windows\System32\docprop.dll	216
0xe001c1576d10	\$Directory	216
0xe001c1576f20	\Windows\System32\dmoleaututils.dll	216
0xe001c1594090	\Windows\System32\WindowsPowerShell\v1.0\pwrshsip.dll	216
0xe001c15a7090	\Windows\System32\drivers\pcw.sys	216
0xe001c15aae60	\Windows\assembly\NativeImages_v4.0.30319_64\System\5d38433b42c802042	216
0xe001c15acf20	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Features-Package-AutoMerged-windows~31bf3856ad364e35~amd64~en-US~10.0.10240.16384.cat	216
0xe001c15b86e0	\Windows\System32\en-US\explorerframe.dll.mui	216
0xe001c15bd9c0	\$Directory	216
0xe001c15be270	\Windows\System32\en-US\svchost.exe.mui	216
0xe001c15bef20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\services.lnk	216
0xe001c15c7270	\$Directory	216
0xe001c15c74a0	\$Directory	216
